dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.249964,16.770833,0.000077,0.007673,0.383646,19.182317,3.141597
0.020000,10.249694,16.770833,0.000346,0.013476,0.290147,-4.674985,3.141627
0.020000,10.249088,16.770833,0.000953,0.030319,0.842179,27.601622,3.141696
0.020000,10.248010,16.770833,0.002031,0.053897,1.178877,16.834888,3.141817
0.020000,10.246326,16.770833,0.003715,0.084203,1.515308,16.821542,3.142008
0.020000,10.243901,16.770831,0.006139,0.121229,1.851301,16.799672,3.142283
0.020000,10.240602,16.770828,0.009438,0.164962,2.186643,16.767116,3.142657
0.020000,10.236294,16.770823,0.013746,0.215384,2.521077,16.721689,3.143148
0.020000,10.230845,16.770813,0.019196,0.272470,2.854300,16.661164,3.143771
0.020000,10.224121,16.770795,0.025919,0.336189,3.185966,16.583266,3.144543
0.020000,10.215991,16.770767,0.034049,0.406502,3.515679,16.485644,3.145482
0.020000,10.206324,16.770724,0.043717,0.483362,3.842996,16.365869,3.146606
0.020000,10.194990,16.770660,0.055051,0.566711,4.167424,16.221392,3.147935
0.020000,10.181928,16.770567,0.068113,0.653132,4.321051,7.681358,3.149480
0.020000,10.167144,16.770438,0.082898,0.739222,4.304482,-0.828452,3.151248
0.020000,10.150646,16.770262,0.099397,0.824933,4.285590,-0.944603,3.153244
0.020000,10.132443,16.770029,0.117601,0.910220,4.264332,-1.062892,3.155475
0.020000,10.112545,16.769729,0.137502,0.995033,4.240661,-1.183564,3.157950
0.020000,10.090962,16.769346,0.159088,1.079324,4.214524,-1.306861,3.160675
0.020000,10.067706,16.768868,0.182349,1.163041,4.185863,-1.433010,3.163662
0.020000,10.042790,16.768277,0.207272,1.246133,4.154619,-1.562225,3.166920
0.020000,10.016229,16.767558,0.233843,1.328548,4.120725,-1.694703,3.170460
0.020000,9.988038,16.766690,0.262047,1.410230,4.084113,-1.830599,3.174293
0.020000,9.958233,16.765653,0.291870,1.491124,4.044712,-1.970042,3.178434
0.020000,9.926834,16.764426,0.323293,1.571173,4.002450,-2.113099,3.182895
0.020000,9.893859,16.762984,0.356299,1.650318,3.957255,-2.259776,3.187691
0.020000,9.859330,16.761303,0.390869,1.728499,3.909055,-2.409988,3.192838
0.020000,9.823269,16.759354,0.426983,1.805655,3.857784,-2.563544,3.198353
0.020000,9.785702,16.757109,0.464617,1.881723,3.803382,-2.720117,3.204253
0.020000,9.746654,16.754536,0.503750,1.956639,3.745797,-2.879215,3.210557
0.020000,9.706153,16.751602,0.544357,2.030339,3.684995,-3.040131,3.217285
0.020000,9.664230,16.748272,0.586412,2.102758,3.620956,-3.201922,3.224457
0.020000,9.620917,16.744509,0.629888,2.173832,3.553690,-3.363328,3.232096
0.020000,9.576247,16.740273,0.674758,2.243496,3.483235,-3.522735,3.240225
0.020000,9.530258,16.735522,0.720992,2.311690,3.409673,-3.678093,3.248867
0.020000,9.482988,16.730214,0.768559,2.378352,3.333136,-3.826851,3.258047
0.020000,9.434479,16.724300,0.817428,2.443429,3.253819,-3.965855,3.267792
0.020000,9.384773,16.717734,0.867565,2.506869,3.171993,-4.091282,3.278127
0.020000,9.333917,16.710465,0.918938,2.568629,3.088023,-4.198520,3.289080
0.020000,9.281960,16.702439,0.971511,2.628677,3.002381,-4.282091,3.300679
