dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.249951,19.250000,0.000079,0.007900,0.395025,19.751233,3.141597
0.020000,10.249596,19.250000,0.000434,0.017759,0.492930,4.895245,3.141628
0.020000,10.248797,19.250000,0.001233,0.039959,1.110010,30.854012,3.141699
0.020000,10.247376,19.250000,0.002654,0.071043,1.554201,22.209569,3.141824
0.020000,10.245156,19.249999,0.004875,0.111017,1.998680,22.223957,3.142020
0.020000,10.241958,19.249997,0.008072,0.159890,2.443631,22.247540,3.142303
0.020000,10.237604,19.249993,0.012426,0.217675,2.889284,22.282641,3.142689
0.020000,10.231916,19.249986,0.018114,0.284394,3.335916,22.331625,3.143194
0.020000,10.224715,19.249972,0.025315,0.360071,3.783854,22.396891,3.143836
0.020000,10.215820,19.249948,0.034210,0.444740,4.233472,22.480902,3.144631
0.020000,10.205141,19.249911,0.044890,0.533993,4.462629,11.457850,3.145591
0.020000,10.192672,19.249854,0.057358,0.623412,4.470982,0.417625,3.146717
0.020000,10.178412,19.249771,0.071619,0.713028,4.480765,0.489145,3.148013
0.020000,10.162355,19.249657,0.087676,0.802868,4.491996,0.561557,3.149482
0.020000,10.144497,19.249501,0.105535,0.892961,4.504696,0.634986,3.151128
0.020000,10.124831,19.249296,0.125202,0.983339,4.518887,0.709553,3.152957
0.020000,10.103352,19.249030,0.146683,1.074031,4.534595,0.785395,3.154973
0.020000,10.080053,19.248692,0.169984,1.165068,4.551847,0.862629,3.157181
0.020000,10.054927,19.248270,0.195114,1.256481,4.570675,0.941379,3.159587
0.020000,10.027966,19.247750,0.222080,1.348304,4.591110,1.021760,3.162199
0.020000,9.999161,19.247116,0.250891,1.440567,4.613188,1.103881,3.165023
0.020000,9.968505,19.246351,0.281557,1.533306,4.636944,1.187842,3.168066
0.020000,9.935987,19.245437,0.314088,1.626555,4.662419,1.273734,3.171338
0.020000,9.901597,19.244353,0.348495,1.720348,4.689651,1.361621,3.174846
0.020000,9.865325,19.243079,0.384790,1.814721,4.718683,1.451558,3.178600
0.020000,9.827160,19.241589,0.422984,1.909712,4.749554,1.543574,3.182610
0.020000,9.787090,19.239859,0.463091,2.005359,4.782307,1.637649,3.186886
0.020000,9.745103,19.237861,0.505125,2.101698,4.816982,1.733743,3.191439
0.020000,9.701188,19.235563,0.549100,2.198771,4.853617,1.831753,3.196281
0.020000,9.655331,19.232935,0.595033,2.296616,4.892247,1.931518,3.201425
0.020000,9.607519,19.229940,0.642938,2.395274,4.932903,2.032803,3.206884
0.020000,9.557739,19.226541,0.692834,2.494786,4.975609,2.135290,3.212670
0.020000,9.505978,19.222697,0.744738,2.595193,5.020380,2.238537,3.218799
0.020000,9.452222,19.218364,0.798669,2.696538,5.067220,2.342008,3.225286
0.020000,9.396457,19.213493,0.854646,2.798860,5.116120,2.444979,3.232145
0.020000,9.338670,19.208036,0.912690,2.902201,5.167051,2.546588,3.239394
0.020000,9.278848,19.201936,0.972822,3.006601,5.219966,2.645747,3.247049
0.020000,9.216979,19.195135,1.035064,3.112096,5.274789,2.741145,3.255128
0.020000,9.153050,19.187570,1.099438,3.218725,5.331413,2.831201,3.263649
0.020000,9.087052,19.179175,1.165969,3.326518,5.389694,2.914029,3.272631
0.020000,9.018974,19.169876,1.234679,3.435507,5.449442,2.987398,3.282092
0.020000,8.948808,19.159596,1.305593,3.545716,5.510416,3.048705,3.292053
0.020000,8.876550,19.148255,1.378736,3.657162,5.572314,3.094913,3.302533
0.020000,8.802194,19.135765,1.454133,3.769857,5.634765,3.122556,3.313552
0.020000,8.725742,19.122032,1.531809,3.883804,5.697319,3.127665,3.325130
0.020000,8.647195,19.106959,1.611789,3.998992,5.759435,3.105803,3.337287
0.020000,8.566562,19.090441,1.694097,4.115402,5.820475,3.052020,3.350043
0.020000,8.483853,19.072370,1.778757,4.232996,5.879693,2.960914,3.363416
0.020000,8.399087,19.052629,1.865792,4.351720,5.936227,2.826659,3.377424
0.020000,8.312287,19.031099,1.955222,4.471502,5.989089,2.643117,3.392085
0.020000,8.223485,19.007653,2.047067,4.592245,6.037168,2.403962,3.407414
0.020000,8.132721,18.982161,2.141343,4.713830,6.079226,2.102894,3.423425
0.020000,8.040042,18.954488,2.238065,4.836108,6.113904,1.733891,3.440128
0.020000,7.945507,18.924496,2.337243,4.958903,6.139735,1.291543,3.457531
0.020000,7.849187,18.892044,2.438884,5.082006,6.155164,0.771462,3.475641
0.020000,7.751163,18.856990,2.542987,5.205177,6.158579,0.170746,3.494457
0.020000,7.651529,18.819191,2.649550,5.328144,6.148349,-0.511492,3.513976
0.020000,7.550393,18.778506,2.758562,5.450602,6.122877,-1.273577,3.534191
0.020000,7.447878,18.734797,2.870006,5.572215,6.080663,-2.110728,3.555088
0.020000,7.344119,18.687930,2.983859,5.692623,6.020371,-3.014573,3.576647
0.020000,7.239267,18.637779,3.100088,5.811441,5.940916,-3.972793,3.598844
0.020000,7.133485,18.584227,3.218653,5.928272,5.841537,-4.968934,3.621646
0.020000,7.026950,18.527165,3.339507,6.042709,5.721887,-5.982509,3.645015
0.020000,6.919850,18.466502,3.462594,6.154351,5.582099,-6.989362,3.668906
