dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300086,13.996667,0.000200,0.020000,1.000000,50.000000,0.000025
0.020000,3.300683,13.996667,0.000796,0.029818,0.490901,-25.454959,0.000200
0.020000,3.302024,13.996667,0.002138,0.067073,1.862772,68.593549,0.000593
0.020000,3.304408,13.996670,0.004521,0.119183,2.605485,37.135659,0.001293
0.020000,3.308129,13.996676,0.008243,0.186073,3.344510,36.951272,0.002388
0.020000,3.313333,13.996693,0.013447,0.260194,3.706021,18.075529,0.003928
0.020000,3.320013,13.996726,0.020127,0.334003,3.690458,-0.778160,0.005917
0.020000,3.328161,13.996784,0.028275,0.407409,3.670282,-1.008795,0.008361
0.020000,3.337767,13.996878,0.037881,0.480316,3.645368,-1.245708,0.011270
0.020000,3.348819,13.997021,0.048934,0.552627,3.615563,-1.490225,0.014653
0.020000,3.361302,13.997228,0.061419,0.624241,3.580684,-1.743953,0.018524
0.020000,3.375200,13.997516,0.075320,0.695051,3.540523,-2.008059,0.022894
0.020000,3.390494,13.997904,0.090619,0.764948,3.494842,-2.284035,0.027781
0.020000,3.407162,13.998412,0.107295,0.833816,3.443378,-2.573203,0.033201
0.020000,3.425181,13.999064,0.125326,0.901533,3.385843,-2.876763,0.039175
0.020000,3.444523,13.999885,0.144685,0.967971,3.321924,-3.195925,0.045724
0.020000,3.465158,14.000903,0.165345,1.032997,3.251297,-3.531367,0.052872
0.020000,3.487052,14.002147,0.187274,1.096469,3.173617,-3.883994,0.060647
0.020000,3.510168,14.003648,0.210439,1.158240,3.088542,-4.253778,0.069077
0.020000,3.534466,14.005440,0.234802,1.218155,2.995732,-4.640493,0.078194
0.020000,3.559899,14.007558,0.260323,1.276052,2.894874,-5.042878,0.088033
0.020000,3.586418,14.010039,0.286959,1.331766,2.785697,-5.458872,0.098632
0.020000,3.613970,14.012923,0.314661,1.385126,2.667998,-5.884918,0.110029
0.020000,3.642496,14.016251,0.343380,1.435960,2.541684,-6.315702,0.122270
0.020000,3.671932,14.020063,0.373062,1.484096,2.406812,-6.743636,0.135399
0.020000,3.702210,14.024403,0.403650,1.529369,2.263646,-7.158275,0.149467
0.020000,3.733256,14.029316,0.435082,1.571624,2.112734,-7.545604,0.164525
0.020000,3.764992,14.034846,0.467297,1.610724,1.954995,-7.886945,0.180626
0.020000,3.797336,14.041039,0.500228,1.646560,1.791825,-8.158502,0.197828
0.020000,3.830201,14.047938,0.533809,1.679065,1.625224,-8.330077,0.216186
0.020000,3.863497,14.055590,0.567974,1.708224,1.457943,-8.364036,0.235759
0.020000,3.897134,14.064040,0.602656,1.734096,1.293641,-8.215108,0.256603
0.020000,3.931020,14.073330,0.637792,1.756837,1.137051,-7.829485,0.278771
0.020000,3.965067,14.083507,0.673327,1.776720,0.994136,-7.145768,0.302312
0.020000,3.999188,14.094613,0.709210,1.794164,0.872211,-6.096256,0.327268
0.020000,4.033307,14.106696,0.745405,1.809764,0.780001,-4.610483,0.353671
0.020000,4.067357,14.119805,0.781892,1.824316,0.727594,-2.620370,0.381539
0.020000,4.101286,14.133995,0.818668,1.838841,0.726222,-0.068568,0.410872
0.020000,4.135060,14.149328,0.855760,1.854597,0.787841,3.080931,0.441649
0.020000,4.168667,14.165880,0.893222,1.873086,0.924438,6.829849,0.473824
0.020000,4.202116,14.183743,0.931143,1.896028,1.147066,11.131410,0.507319
0.020000,4.235444,14.203031,0.969649,1.925320,1.464625,15.877968,0.542026
0.020000,4.268709,14.223881,1.008908,1.962970,1.882489,20.893167,0.577802
0.020000,4.301991,14.246463,1.049128,2.010993,2.401145,25.932828,0.614469
0.020000,4.335386,14.270976,1.090554,2.071295,3.015106,30.698023,0.651816
0.020000,4.368999,14.297650,1.133465,2.145542,3.712337,34.861577,0.689604
0.020000,4.402936,14.326744,1.178166,2.235031,4.474461,38.106168,0.727573
0.020000,4.437293,14.358539,1.224977,2.340587,5.277828,40.168368,0.765446
0.020000,4.472152,14.393329,1.274227,2.462496,6.095416,40.879423,0.802944
0.020000,4.507573,14.431413,1.326237,2.600481,6.899286,40.193504,0.839790
0.020000,4.543589,14.473080,1.381312,2.753745,7.663206,38.195984,0.875723
0.020000,4.580206,14.518601,1.439733,2.921045,8.364999,35.089650,0.910503
0.020000,4.617405,14.568222,1.501749,3.100810,8.988249,31.162503,0.943915
0.020000,4.655150,14.622151,1.567574,3.291274,9.523154,26.745252,0.975777
0.020000,4.693388,14.680559,1.637387,3.490604,9.966520,22.168288,1.005935
0.020000,4.732061,14.743580,1.711327,3.697025,10.321046,17.726291,1.034270
0.020000,4.771112,14.811306,1.789505,3.908908,10.594155,13.655446,1.060687
0.020000,4.810491,14.883798,1.872002,4.124841,10.796635,10.123998,1.085116
0.020000,4.850161,14.961085,1.958875,4.343667,10.941321,7.234296,1.107509
0.020000,4.890105,15.043172,2.050165,4.564506,11.041970,5.032462,1.127830
0.020000,4.930328,15.130048,2.145901,4.786755,11.112410,3.522025,1.146056
0.020000,4.970860,15.221685,2.246102,5.010074,11.165976,2.678296,1.162168
0.020000,5.011764,15.318051,2.350790,5.234378,11.215202,2.461265,1.176150
0.020000,5.053128,15.419110,2.459986,5.459813,11.271728,2.826309,1.187981
0.020000,5.095079,15.524825,2.573721,5.686740,11.346366,3.731897,1.197636
0.020000,5.137778,15.635166,2.692035,5.915725,11.449266,5.144997,1.205081
0.020000,5.181426,15.750108,2.814986,6.147528,11.590147,7.044091,1.210266
0.020000,5.226266,15.869636,2.942648,6.383099,11.778556,9.420439,1.213127
0.020000,5.272590,15.993744,3.075119,6.623582,12.024108,12.277599,1.213580
0.020000,5.320742,16.122437,3.212526,6.870315,12.336692,15.629177,1.211517
0.020000,5.371055,16.255532,3.354812,7.114332,12.200849,-6.792131,1.206815
0.020000,5.423838,16.392636,3.501726,7.345706,11.568652,-31.609873,1.199345
0.020000,5.479449,16.533332,3.653014,7.564389,10.934194,-31.722897,1.188983
0.020000,5.538285,16.677170,3.808420,7.770267,10.293903,-32.014562,1.175606
0.020000,5.600744,16.823590,3.967605,7.959264,9.449824,-42.203944,1.159104
0.020000,5.667244,16.971977,4.130212,8.130352,8.554413,-44.770532,1.139385
0.020000,5.738230,17.121721,4.295930,8.285884,7.776607,-38.890320,1.116372
0.020000,5.814134,17.272132,4.464408,8.423901,6.900817,-43.789484,1.090023
0.020000,5.895339,17.422428,4.635238,8.541540,5.881963,-50.942701,1.060344
0.020000,5.982192,17.571795,4.808021,8.639154,4.880689,-50.063717,1.027392
0.020000,6.077334,17.722680,4.986397,8.918795,13.982069,455.069016,0.987878
0.020000,6.180498,17.871989,5.167881,9.074184,7.769448,-310.631037,0.944034
0.020000,6.291238,18.017669,5.350872,9.149567,3.769141,-200.015376,0.897181
0.020000,6.409795,18.158912,5.535278,9.220286,3.535951,-11.659461,0.847399
0.020000,6.536221,18.294768,5.720859,9.279069,2.939182,-29.838492,0.794893
0.020000,6.670311,18.424174,5.907209,9.317451,1.919057,-51.006218,0.740014
0.020000,6.811552,18.546011,6.093738,9.326472,0.451046,-73.400552,0.683264
