dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.499998,11.550000,0.000080,0.007977,0.398827,19.941370,6.283184
0.020000,1.500396,11.550000,0.000477,0.019874,0.594855,9.801369,0.000067
0.020000,1.501306,11.550000,0.001388,0.045539,1.283286,34.421564,0.000221
0.020000,1.502926,11.550001,0.003007,0.080964,1.771254,24.398395,0.000496
0.020000,1.505456,11.550003,0.005538,0.126521,2.277837,25.329164,0.000925
0.020000,1.509100,11.550007,0.009182,0.182221,2.784993,25.357777,0.001543
0.020000,1.514062,11.550017,0.014144,0.248081,3.292997,25.400225,0.002386
0.020000,1.520545,11.550036,0.020626,0.324125,3.802184,25.459340,0.003488
0.020000,1.528752,11.550070,0.028834,0.410384,4.312943,25.537924,0.004885
0.020000,1.538890,11.550128,0.038972,0.506898,4.825713,25.638537,0.006614
0.020000,1.551062,11.550222,0.051145,0.608644,5.087310,13.079830,0.008695
0.020000,1.565274,11.550362,0.065357,0.710590,5.097297,0.499344,0.011131
0.020000,1.581528,11.550566,0.081612,0.812769,5.108933,0.581789,0.013925
0.020000,1.599830,11.550850,0.099916,0.915213,5.122209,0.663841,0.017082
0.020000,1.620185,11.551233,0.120275,1.017955,5.137113,0.745162,0.020607
0.020000,1.642600,11.551739,0.142696,1.121027,5.153623,0.825534,0.024505
0.020000,1.667081,11.552391,0.167185,1.224462,5.171715,0.904606,0.028781
0.020000,1.693633,11.553218,0.193751,1.328289,5.191356,0.982026,0.033442
0.020000,1.722266,11.554248,0.222402,1.432539,5.212503,1.057342,0.038496
0.020000,1.752984,11.555515,0.253146,1.537241,5.235099,1.129825,0.043948
0.020000,1.785797,11.557054,0.285995,1.642422,5.259078,1.198926,0.049807
0.020000,1.820710,11.558904,0.320957,1.748110,5.284353,1.263781,0.056080
0.020000,1.857731,11.561107,0.358044,1.854326,5.310819,1.323278,0.062777
0.020000,1.896867,11.563707,0.397265,1.961093,5.338349,1.376480,0.069906
0.020000,1.938123,11.566752,0.438634,2.068429,5.366787,1.421909,0.077476
0.020000,1.981505,11.570295,0.482161,2.176348,5.395949,1.458098,0.085496
0.020000,2.027019,11.574390,0.527858,2.284860,5.425617,1.483394,0.093977
0.020000,2.074666,11.579096,0.575738,2.393971,5.455529,1.495640,0.102927
0.020000,2.124450,11.584475,0.625811,2.503678,5.485387,1.492880,0.112356
0.020000,2.176370,11.590594,0.678091,2.613975,5.514836,1.472468,0.122273
0.020000,2.230425,11.597522,0.732588,2.724845,5.543476,1.431968,0.132689
0.020000,2.286610,11.605333,0.789313,2.836261,5.570840,1.368208,0.143610
0.020000,2.344918,11.614105,0.848277,2.948189,5.596406,1.278297,0.155047
0.020000,2.405337,11.623919,0.909488,3.060581,5.619582,1.158808,0.167005
0.020000,2.467855,11.634859,0.972956,3.173375,5.639712,1.006481,0.179492
0.020000,2.532451,11.647014,1.038686,3.286497,5.656065,0.817675,0.192513
0.020000,2.599102,11.660476,1.106683,3.399854,5.667851,0.589295,0.206071
0.020000,2.667780,11.675337,1.176949,3.513338,5.674207,0.317799,0.220168
0.020000,2.738447,11.691696,1.249486,3.626822,5.674221,0.000703,0.234806
0.020000,2.811064,11.709650,1.324289,3.740161,5.666929,-0.364602,0.249980
0.020000,2.885580,11.729300,1.401353,3.853188,5.651338,-0.779552,0.265687
0.020000,2.961940,11.750746,1.480667,3.965716,5.626441,-1.244825,0.281918
0.020000,3.040079,11.774088,1.562218,4.077541,5.591246,-1.759748,0.298662
0.020000,3.119924,11.799425,1.645987,4.188437,5.544799,-2.322395,0.315904
0.020000,3.201394,11.826854,1.731950,4.298162,5.486220,-2.928931,0.333626
0.020000,3.284398,11.856470,1.820079,4.406457,5.414744,-3.573807,0.351804
0.020000,3.368838,11.888360,1.910340,4.513052,5.329755,-4.249434,0.370411
0.020000,3.454606,11.922609,2.002694,4.617668,5.230831,-4.946188,0.389416
0.020000,3.541587,11.959292,2.097094,4.720024,5.117780,-5.652558,0.408783
0.020000,3.629660,11.998479,2.193491,4.819837,4.990676,-6.355197,0.428471
0.020000,3.718694,12.040228,2.291827,4.916835,4.849887,-7.039441,0.448434
0.020000,3.808557,12.084587,2.392043,5.010757,4.696092,-7.689747,0.468624
0.020000,3.899110,12.131595,2.494070,5.101363,4.530288,-8.290211,0.488987
0.020000,3.990213,12.181276,2.597839,5.188438,4.353778,-8.825498,0.509467
0.020000,4.081725,12.233643,2.703275,5.271801,4.168150,-9.281422,0.530005
0.020000,4.173506,12.288696,2.810301,5.351306,3.975232,-9.645873,0.550539
0.020000,4.265418,12.346423,2.918838,5.426847,3.777045,-9.909389,0.571005
0.020000,4.357328,12.406799,3.028805,5.498361,3.575727,-10.065897,0.591339
0.020000,4.449111,12.469786,3.140122,5.565831,3.373467,-10.112976,0.611477
0.020000,4.540646,12.535336,3.252707,5.629279,3.172424,-10.052147,0.631353
0.020000,4.631825,12.603389,3.366483,5.688772,2.974649,-9.888740,0.650905
0.020000,4.722548,12.673878,3.481371,5.744413,2.782016,-9.631677,0.670071
