dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.249946,7.750000,0.000079,0.007912,0.395578,19.778903,3.141584
0.020000,10.249551,7.750000,0.000474,0.019748,0.591820,9.812091,3.141521
0.020000,10.248662,7.750000,0.001363,0.044433,1.234250,32.121507,3.141380
0.020000,10.247082,7.750001,0.002943,0.078992,1.727957,24.685354,3.141129
0.020000,10.244614,7.750002,0.005411,0.123426,2.221675,24.685876,3.140736
0.020000,10.241059,7.750006,0.008966,0.177734,2.715408,24.686684,3.140171
0.020000,10.236221,7.750015,0.013804,0.241917,3.209164,24.687766,3.139402
0.020000,10.229901,7.750032,0.020124,0.315976,3.702945,24.689047,3.138397
0.020000,10.221903,7.750063,0.028122,0.399911,4.196751,24.690344,3.137125
0.020000,10.212029,7.750115,0.037996,0.493723,4.690578,24.691317,3.135555
0.020000,10.200180,7.750197,0.049846,0.592473,4.937542,12.348213,3.133670
0.020000,10.186356,7.750322,0.063670,0.691225,4.937602,0.003000,3.131471
0.020000,10.170557,7.750502,0.079470,0.789977,4.937578,-0.001211,3.128959
0.020000,10.152784,7.750752,0.097244,0.888725,4.937426,-0.007617,3.126132
0.020000,10.133038,7.751088,0.116994,0.987467,4.937095,-0.016534,3.122991
0.020000,10.111318,7.751529,0.138718,1.086198,4.936529,-0.028285,3.119536
0.020000,10.087627,7.752097,0.162416,1.184911,4.935665,-0.043192,3.115767
0.020000,10.061965,7.752812,0.188088,1.283600,4.934434,-0.061582,3.111686
0.020000,10.034334,7.753699,0.215733,1.382255,4.932758,-0.083768,3.107292
0.020000,10.004737,7.754785,0.245350,1.480866,4.930557,-0.110072,3.102586
0.020000,9.973175,7.756096,0.276939,1.579421,4.927741,-0.140790,3.097568
0.020000,9.939654,7.757662,0.310497,1.677905,4.924217,-0.176227,3.092241
0.020000,9.904176,7.759515,0.346023,1.776303,4.919883,-0.216656,3.086606
0.020000,9.866747,7.761686,0.383515,1.874596,4.914637,-0.262340,3.080663
0.020000,9.827373,7.764212,0.422970,1.972763,4.908367,-0.313502,3.074416
0.020000,9.786060,7.767127,0.464386,2.070782,4.900959,-0.370361,3.067866
0.020000,9.742816,7.770470,0.507758,2.168628,4.892298,-0.433061,3.061017
0.020000,9.697651,7.774280,0.553084,2.266274,4.882263,-0.501731,3.053871
0.020000,9.650575,7.778597,0.600357,2.363688,4.870735,-0.576436,3.046432
0.020000,9.601599,7.783462,0.649574,2.460840,4.857591,-0.657174,3.038705
0.020000,9.550737,7.788920,0.700728,2.557694,4.842714,-0.743886,3.030694
0.020000,9.498004,7.795014,0.753812,2.654214,4.825985,-0.836442,3.022404
0.020000,9.443416,7.801788,0.808820,2.750360,4.807293,-0.934606,3.013842
0.020000,9.386990,7.809290,0.865741,2.846090,4.786531,-1.038085,3.005014
0.020000,9.328748,7.817564,0.924569,2.941363,4.763602,-1.146468,2.995928
0.020000,9.268710,7.826659,0.985291,3.036131,4.738416,-1.259258,2.986591
0.020000,9.206901,7.836620,1.047898,3.130349,4.710899,-1.375853,2.977012
