dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.249967,10.229167,0.000079,0.007912,0.395578,19.778903,3.141584
0.020000,10.249728,10.229167,0.000318,0.011964,0.202607,-9.648557,3.141521
0.020000,10.249189,10.229167,0.000857,0.026918,0.747729,27.256089,3.141380
0.020000,10.248232,10.229167,0.001814,0.047855,1.046813,14.954225,3.141129
0.020000,10.246737,10.229168,0.003309,0.074772,1.345887,14.953709,3.140736
0.020000,10.244583,10.229171,0.005463,0.107671,1.644946,14.952915,3.140171
0.020000,10.241652,10.229176,0.008394,0.146551,1.943983,14.951846,3.139402
0.020000,10.237824,10.229186,0.012222,0.191411,2.242994,14.950579,3.138397
0.020000,10.232979,10.229205,0.017067,0.242250,2.541980,14.949298,3.137125
0.020000,10.226998,10.229236,0.023048,0.299069,2.840947,14.948319,3.135555
0.020000,10.219821,10.229286,0.030226,0.358877,2.990379,7.471621,3.133670
0.020000,10.211447,10.229362,0.038600,0.418683,2.990319,-0.003013,3.131471
0.020000,10.201878,10.229471,0.048169,0.478490,2.990341,0.001124,3.128959
0.020000,10.191113,10.229622,0.058935,0.538300,2.990489,0.007413,3.126132
0.020000,10.179153,10.229826,0.070898,0.598116,2.990813,0.016171,3.122991
0.020000,10.165996,10.230093,0.084057,0.657943,2.991367,0.027717,3.119536
0.020000,10.151645,10.230437,0.098412,0.717788,2.992215,0.042368,3.115767
0.020000,10.136098,10.230870,0.113965,0.777656,2.993423,0.060440,3.111686
0.020000,10.119355,10.231408,0.130717,0.837558,2.995068,0.082249,3.107292
0.020000,10.101417,10.232066,0.148667,0.897502,2.997230,0.108102,3.102586
0.020000,10.082284,10.232860,0.167817,0.957502,2.999996,0.138304,3.097568
0.020000,10.061954,10.233810,0.188168,1.017571,3.003459,0.173141,3.092241
0.020000,10.040429,10.234934,0.209723,1.077726,3.007717,0.212889,3.086606
0.020000,10.017708,10.236253,0.232482,1.137983,3.012873,0.257801,3.080663
0.020000,9.993790,10.237787,0.256450,1.198364,3.019035,0.308113,3.074416
0.020000,9.968674,10.239559,0.281627,1.258890,3.026316,0.364010,3.067866
0.020000,9.942361,10.241593,0.308019,1.319587,3.034829,0.425666,3.061017
0.020000,9.914849,10.243914,0.335629,1.380481,3.044693,0.493189,3.053871
0.020000,9.886138,10.246547,0.364461,1.441601,3.056025,0.566643,3.046432
0.020000,9.856225,10.249519,0.394520,1.502980,3.068946,0.646038,3.038705
0.020000,9.825111,10.252857,0.425813,1.564651,3.083572,0.731310,3.030694
0.020000,9.792793,10.256592,0.458346,1.626652,3.100019,0.822319,3.022404
0.020000,9.759270,10.260752,0.492127,1.689020,3.118396,0.918860,3.013842
0.020000,9.724539,10.265369,0.527163,1.751796,3.138808,1.020618,3.005014
0.020000,9.688600,10.270475,0.563463,1.815023,3.161352,1.127205,2.995928
0.020000,9.651449,10.276103,0.601038,1.878745,3.186115,1.238126,2.986591
0.020000,9.613084,10.282287,0.639898,1.943009,3.213171,1.352794,2.977012
0.020000,9.573502,10.289060,0.680055,2.007860,3.242581,1.470520,2.967202
0.020000,9.532701,10.296460,0.721522,2.073348,3.274392,1.590518,2.957169
0.020000,9.490677,10.304523,0.764313,2.139521,3.308630,1.711913,2.946926
0.020000,9.447427,10.313286,0.808441,2.206427,3.345305,1.833747,2.936485
0.020000,9.402948,10.322786,0.853924,2.274115,3.384405,1.954985,2.925857
0.020000,9.357236,10.333063,0.900776,2.342633,3.425895,2.074535,2.915057
0.020000,9.310288,10.344156,0.949017,2.412027,3.469720,2.191260,2.904099
0.020000,9.262101,10.356105,0.998664,2.482343,3.515800,2.304001,2.892998
0.020000,9.212670,10.368949,1.049736,2.553624,3.564032,2.411594,2.881769
0.020000,9.161992,10.382730,1.102254,2.625910,3.614290,2.512895,2.870429
0.020000,9.110064,10.397488,1.156239,2.699238,3.666426,2.606807,2.858995
0.020000,9.056881,10.413265,1.211712,2.773644,3.720272,2.692302,2.847484
0.020000,9.002442,10.430100,1.268695,2.849156,3.775641,2.768447,2.835915
0.020000,8.946742,10.448034,1.327211,2.925803,3.832330,2.834425,2.824305
0.020000,8.889779,10.467109,1.387283,3.003605,3.890121,2.889561,2.812674
0.020000,8.831550,10.487364,1.448935,3.082581,3.948788,2.933338,2.801041
0.020000,8.772052,10.508839,1.512190,3.162743,4.008096,2.965411,2.789425
0.020000,8.711283,10.531573,1.577072,3.244099,4.067808,2.985622,2.777846
0.020000,8.649241,10.555604,1.643605,3.326653,4.127688,2.994002,2.766322
0.020000,8.585925,10.580969,1.711813,3.410403,4.187504,2.990775,2.754874
0.020000,8.521332,10.607703,1.781720,3.495344,4.247031,2.976356,2.743520
0.020000,8.455461,10.635843,1.853349,3.581465,4.306058,2.951342,2.732281
0.020000,8.388312,10.665420,1.926724,3.668753,4.364388,2.916496,2.721174
0.020000,8.319882,10.696467,2.001868,3.757190,4.421843,2.872739,2.710220
0.020000,8.250170,10.729014,2.078803,3.846755,4.478265,2.821125,2.699435
0.020000,8.179176,10.763089,2.157552,3.937425,4.533522,2.762821,2.688838
0.020000,8.106897,10.798719,2.238135,4.029175,4.587503,2.699085,2.678447
0.020000,8.033332,10.835927,2.320575,4.121978,4.640128,2.631241,2.668278
0.020000,7.958478,10.874737,2.404891,4.215805,4.691341,2.560662,2.658349
0.020000,7.882334,10.915167,2.491103,4.310627,4.741116,2.488736,2.648675
0.020000,7.804895,10.957237,2.579232,4.406416,4.789453,2.416856,2.639273
0.020000,7.726158,11.000961,2.669294,4.503144,4.836381,2.346401,2.630157
0.020000,7.646118,11.046353,2.761310,4.600783,4.881955,2.278711,2.621343
0.020000,7.586926,11.080939,2.829866,3.427796,-58.649348,-3176.565145,2.592207
0.020000,7.541165,11.110306,2.884239,2.718667,-35.456433,1159.645742,2.550197
0.020000,7.494709,11.142935,2.941008,2.838458,5.989526,2072.297927,2.508849
0.020000,7.447374,11.179157,3.000613,2.980243,7.089246,54.986014,2.468520
0.020000,7.399052,11.219271,3.063415,3.140087,7.992239,45.149652,2.429569
0.020000,7.349721,11.263504,3.129673,3.312908,8.641011,32.438583,2.392336
0.020000,7.299402,11.312025,3.199575,3.495104,9.109836,23.441242,2.357102
0.020000,7.248155,11.364931,3.273232,3.682852,9.387390,13.877723,2.324086
0.020000,7.196068,11.422247,3.350680,3.872405,9.477626,4.511781,2.293445
0.020000,7.143242,11.483924,3.431887,4.060328,9.396166,-4.072982,2.265283
0.020000,7.089785,11.549846,3.516760,4.243649,9.166070,-11.504830,2.239653
0.020000,7.035794,11.619841,3.605159,4.419926,8.813844,-17.611262,2.216569
0.020000,6.981356,11.693690,3.696904,4.587251,8.366252,-22.379634,2.196014
0.020000,6.926570,11.771094,3.791735,4.741549,7.714895,-32.567842,2.177958
0.020000,6.871515,11.851720,3.889365,4.881516,6.998324,-35.828525,2.162348
0.020000,6.816219,11.935258,3.989546,5.009051,6.376775,-31.077452,2.149112
0.020000,6.760692,12.021387,4.092023,5.123837,5.739270,-31.875244,2.138171
0.020000,6.704925,12.109781,4.196538,5.225753,5.095793,-32.173848,2.129444
0.020000,6.648898,12.200113,4.302834,5.314814,4.453082,-32.135586,2.122850
0.020000,6.592577,12.292056,4.410656,5.391117,3.815136,-31.897276,2.118311
0.020000,6.535920,12.385287,4.519752,5.454791,3.183701,-31.571755,2.115750
0.020000,6.478882,12.479483,4.629871,5.505965,2.558685,-31.250814,2.115093
0.020000,6.421417,12.574327,4.740766,5.544735,1.938514,-31.008534,2.116265
0.020000,6.363448,12.669562,4.852257,5.574520,1.489273,-22.462054,2.119199
0.020000,6.304854,12.765007,4.964252,5.599756,1.261782,-11.374557,2.123830
0.020000,6.245509,12.860502,5.076685,5.621678,1.096097,-8.284268,2.130105
0.020000,6.185286,12.955898,5.189499,5.640706,0.951416,-7.234016,2.137977
0.020000,6.124062,13.051045,5.302643,5.657167,0.823023,-6.419680,2.147404
0.020000,6.061716,13.145800,5.416068,5.671290,0.706171,-5.842595,2.158349
0.020000,5.998134,13.240017,5.529733,5.683212,0.596074,-5.504821,2.170775
0.020000,5.933207,13.333550,5.643592,5.692970,0.487899,-5.408742,2.184648
0.020000,5.866835,13.426249,5.757602,5.700505,0.376779,-5.556030,2.199930
0.020000,5.798930,13.517959,5.871715,5.705662,0.257851,-5.946415,2.216584
0.020000,5.729416,13.608519,5.985879,5.708189,0.126331,-6.575958,2.234566
0.020000,5.658233,13.697762,6.100034,5.707741,-0.022374,-7.435277,2.253829
0.020000,5.585339,13.785513,6.214112,5.703891,-0.192524,-8.507503,2.274316
0.020000,5.510714,13.871591,6.328035,5.696134,-0.387856,-9.766593,2.295965
0.020000,5.434361,13.955811,6.441713,5.683906,-0.611374,-11.175892,2.318702
0.020000,5.356310,14.037983,6.555045,5.666604,-0.865123,-12.687471,2.342445
0.020000,5.276617,14.117915,6.667917,5.643604,-1.149974,-14.242516,2.367101
0.020000,5.195370,14.195420,6.780203,5.614296,-1.465433,-15.772986,2.392568
0.020000,5.112686,14.270316,6.891765,5.578105,-1.809527,-17.204661,2.418734
0.020000,5.028710,14.342430,7.002455,5.534530,-2.178757,-18.461524,2.445478
0.020000,4.943616,14.411605,7.112119,5.483166,-2.568180,-19.471152,2.472673
0.020000,4.857604,14.477701,7.220593,5.423735,-2.971591,-20.170540,2.500189
0.020000,4.770895,14.540603,7.327715,5.356098,-3.381824,-20.511631,2.527892
0.020000,4.683727,14.600220,7.433321,5.280275,-3.791139,-20.465785,2.555648
0.020000,4.596349,14.656489,7.537250,5.196442,-4.191668,-20.026418,2.583327
0.020000,4.509018,14.709380,7.639348,5.104925,-4.575860,-19.209612,2.610805
0.020000,4.421990,14.758888,7.739472,5.006187,-4.936903,-18.052176,2.637963
0.020000,4.335520,14.805040,7.837488,4.900805,-5.269063,-16.607976,2.664693
0.020000,4.249851,14.847891,7.933277,4.789447,-5.567917,-14.942714,2.690899
0.020000,4.165212,14.887520,8.026734,4.672837,-5.830477,-13.128000,2.716495
0.020000,4.081818,14.924028,8.117768,4.551734,-6.055192,-11.235749,2.741407
0.020000,3.999865,14.957533,8.206306,4.426897,-6.241856,-9.333168,2.765575
0.020000,3.919527,14.988169,8.292288,4.299068,-6.391433,-7.478890,2.788951
0.020000,3.840958,15.016082,8.375667,4.168951,-6.505852,-5.720940,2.811496
0.020000,3.764294,15.041423,8.456411,4.037196,-6.587758,-4.095279,2.833185
0.020000,3.689648,15.064349,8.534498,3.904390,-6.640285,-2.626378,2.853999
0.020000,3.617114,15.085019,8.609920,3.771053,-6.666842,-1.327842,2.873932
0.020000,3.546772,15.103590,8.682672,3.637635,-6.670929,-0.204341,2.892981
0.020000,3.478682,15.120217,8.752762,3.504515,-6.655989,0.747001,2.911151
0.020000,3.412894,15.135052,8.820203,3.372009,-6.625302,1.534343,2.928452
0.020000,3.349442,15.148238,8.885010,3.240371,-6.581906,2.169794,2.944899
0.020000,3.288352,15.159916,8.947206,3.109800,-6.528553,2.667641,2.960508
0.020000,3.229640,15.170216,9.006815,2.980446,-6.467687,3.043327,2.975300
0.020000,3.173314,15.179265,9.063863,2.852417,-6.401437,3.312480,2.989295
0.020000,3.119376,15.187178,9.118379,2.725784,-6.331635,3.490095,3.002518
0.020000,3.067822,15.194066,9.170391,2.600588,-6.259828,3.590374,3.014991
0.020000,3.018646,15.200032,9.219928,2.476842,-6.187305,3.626117,3.026737
0.020000,2.971836,15.205170,9.267018,2.354539,-6.115127,3.608937,3.037781
0.020000,2.927380,15.209568,9.311691,2.233656,-6.044153,3.548697,3.048145
0.020000,2.885263,15.213309,9.353975,2.114155,-5.975065,3.454386,3.057852
0.020000,2.845468,15.216467,9.393894,1.995987,-5.908402,3.333153,3.066923
0.020000,2.807979,15.219112,9.431476,1.879095,-5.844573,3.191462,3.075380
0.020000,2.772779,15.221307,9.466745,1.763418,-5.783887,3.034290,3.083242
0.020000,2.739851,15.223110,9.499722,1.648886,-5.726567,2.866001,3.090527
0.020000,2.709177,15.224574,9.530431,1.535431,-5.672765,2.690108,3.097254
0.020000,2.680742,15.225748,9.558891,1.422979,-5.622583,2.509094,3.103439
0.020000,2.654529,15.226674,9.585120,1.311458,-5.576076,2.325371,3.109096
0.020000,2.630524,15.227393,9.609136,1.200792,-5.533268,2.140355,3.114240
0.020000,2.608713,15.227939,9.630954,1.090909,-5.494156,1.955613,3.118883
0.020000,2.589082,15.228344,9.650588,0.981735,-5.458725,1.771543,3.123037
0.020000,2.571621,15.228636,9.668052,0.873196,-5.426939,1.589320,3.126712
0.020000,2.556318,15.228839,9.683357,0.765221,-5.398763,1.408793,3.129918
0.020000,2.543164,15.228974,9.696511,0.657738,-5.374153,1.230484,3.132662
0.020000,2.532150,15.229060,9.707525,0.550676,-5.353069,1.054222,3.134951
0.020000,2.523184,15.229111,9.716491,0.448307,-5.118445,11.731201,3.136810
0.020000,2.516067,15.229140,9.723608,0.355852,-4.622764,24.784027,3.138281
0.020000,2.510584,15.229155,9.729092,0.274192,-4.083018,26.987321,3.139413
0.020000,2.506518,15.229162,9.733157,0.203259,-3.546625,26.819655,3.140251
0.020000,2.503658,15.229165,9.736017,0.143004,-3.012765,26.692995,3.140840
0.020000,2.501791,15.229166,9.737885,0.093389,-2.480740,26.601223,3.141224
0.020000,2.500703,15.229167,9.738973,0.054390,-1.949961,26.538952,3.141448
0.020000,2.500183,15.229167,9.739493,0.025991,-1.419963,26.499919,3.141555
0.020000,2.500019,15.229167,9.739656,0.008183,-0.890387,26.478812,3.141589
0.020000,2.500000,15.229167,9.739676,0.000963,-0.360989,26.469911,3.141593
0.020000,2.500000,15.229167,9.739676,0.000000,-0.048156,15.641651,3.141593
