dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300199,13.996667,0.000199,0.019926,0.996299,49.814950,6.283143
0.020000,3.301256,13.996667,0.001256,0.052851,1.646232,32.496631,6.282920
0.020000,3.303635,13.996665,0.003635,0.118930,3.303965,82.886693,6.282419
0.020000,3.307865,13.996660,0.007865,0.211486,4.627797,66.191582,6.281526
0.020000,3.314476,13.996645,0.014476,0.330587,5.955072,66.363734,6.280129
0.020000,3.323738,13.996607,0.023739,0.463110,6.626154,33.554084,6.278167
0.020000,3.335657,13.996532,0.035657,0.595922,6.640561,0.720353,6.275637
0.020000,3.350238,13.996400,0.050239,0.729103,6.659080,0.925993,6.272532
0.020000,3.367492,13.996184,0.067494,0.862737,6.681705,1.131208,6.268844
0.020000,3.387427,13.995855,0.087432,0.996906,6.708417,1.335597,6.264564
0.020000,3.410056,13.995379,0.110066,1.131689,6.739186,1.538474,6.259681
0.020000,3.435390,13.994714,0.135409,1.267169,6.773966,1.739013,6.254183
0.020000,3.463444,13.993814,0.163478,1.403422,6.812684,1.935888,6.248058
0.020000,3.494232,13.992628,0.194288,1.540527,6.855235,2.127573,6.241290
0.020000,3.527768,13.991097,0.227859,1.678557,6.901473,2.311865,6.233864
0.020000,3.564068,13.989158,0.264211,1.817580,6.951197,2.486193,6.225763
0.020000,3.603147,13.986740,0.303364,1.957663,7.004140,2.647163,6.216968
0.020000,3.645018,13.983763,0.345341,2.098862,7.059955,2.790771,6.207460
0.020000,3.689696,13.980144,0.390166,2.241226,7.118195,2.911991,6.197220
0.020000,3.737193,13.975788,0.437862,2.384792,7.178295,3.004991,6.186227
0.020000,3.787517,13.970594,0.488453,2.529583,7.239551,3.062801,6.174459
0.020000,3.840676,13.964454,0.541965,2.675605,7.301095,3.077210,6.161896
0.020000,3.896671,13.957249,0.598422,2.822843,7.361875,3.039005,6.148517
0.020000,3.955500,13.948853,0.657847,2.971255,7.420627,2.937600,6.134302
