dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300101,11.663333,0.000199,0.019926,0.996299,49.814950,6.283143
0.020000,3.300638,11.663333,0.000736,0.026853,0.346367,-32.496622,6.282920
0.020000,3.301846,11.663333,0.001944,0.060404,1.677529,66.558120,6.282419
0.020000,3.303993,11.663330,0.004091,0.107330,2.346296,33.438344,6.281526
0.020000,3.307344,11.663322,0.007442,0.167562,3.011617,33.266082,6.280129
0.020000,3.312030,11.663303,0.012128,0.234299,3.336833,16.260779,6.278167
0.020000,3.318045,11.663265,0.018143,0.300747,3.322423,-0.720498,6.275637
0.020000,3.325381,11.663199,0.025480,0.366825,3.303900,-0.926179,6.272532
0.020000,3.334030,11.663091,0.034129,0.432451,3.281271,-1.131445,6.268844
0.020000,3.343979,11.662927,0.044080,0.497542,3.254553,-1.335865,6.264564
0.020000,3.355217,11.662690,0.055320,0.562017,3.223777,-1.538828,6.259681
0.020000,3.367729,11.662361,0.067836,0.625797,3.188989,-1.739391,6.254183
0.020000,3.381497,11.661920,0.081612,0.688802,3.150261,-1.936373,6.248058
0.020000,3.396505,11.661342,0.096631,0.750956,3.107700,-2.128094,6.241290
0.020000,3.412732,11.660601,0.112875,0.812185,3.061450,-2.312502,6.233864
0.020000,3.430156,11.659671,0.130323,0.872420,3.011712,-2.486891,6.225763
0.020000,3.448752,11.658520,0.148955,0.931595,2.958752,-2.647980,6.216968
0.020000,3.468495,11.657117,0.168748,0.989653,2.902919,-2.791660,6.207460
0.020000,3.489358,11.655427,0.189679,1.046546,2.844658,-2.913034,6.197220
0.020000,3.511311,11.653414,0.211724,1.102237,2.784535,-3.006160,6.186227
0.020000,3.534323,11.651039,0.234858,1.156702,2.723254,-3.064062,6.174459
0.020000,3.558361,11.648263,0.259056,1.209935,2.661681,-3.078659,6.161896
0.020000,3.583394,11.645042,0.284295,1.261953,2.600869,-3.040579,6.148517
0.020000,3.609387,11.641333,0.310551,1.312795,2.542082,-2.939335,6.134302
0.020000,3.636305,11.637088,0.337802,1.362531,2.486817,-2.763262,6.119231
0.020000,3.664114,11.632260,0.366027,1.411267,2.436822,-2.499772,6.103288
0.020000,3.692781,11.626798,0.395210,1.459149,2.394109,-2.135614,6.086457
0.020000,3.722274,11.620648,0.425338,1.506369,2.360963,-1.657341,6.068729
0.020000,3.752563,11.613756,0.456401,1.553167,2.339922,-1.052028,6.050094
0.020000,3.783622,11.606062,0.488398,1.599842,2.333760,-0.308100,6.030552
0.020000,3.815425,11.597505,0.521333,1.646751,2.345430,0.583522,6.010106
0.020000,3.847957,11.588019,0.555219,1.694311,2.377992,1.628087,5.988768
0.020000,3.881203,11.577534,0.590079,1.743001,2.434502,2.825508,5.966556
0.020000,3.915156,11.565975,0.625946,1.793358,2.517880,4.168864,5.943500
0.020000,3.949817,11.553259,0.662866,1.845973,2.630737,5.642881,5.919638
0.020000,3.985192,11.539300,0.700895,1.901477,2.775193,7.222794,5.895020
0.020000,4.021294,11.524000,0.740106,1.960530,2.952668,8.873762,5.869706
0.020000,4.058145,11.507257,0.780582,2.023804,3.163689,10.551035,5.843769
0.020000,4.095770,11.488957,0.822421,2.091958,3.407712,12.201126,5.817292
0.020000,4.134200,11.468980,0.865734,2.165618,3.682996,13.764238,5.790370
0.020000,4.173468,11.447194,0.910641,2.245349,3.986549,15.177619,5.763107
0.020000,4.213611,11.423463,0.957273,2.331632,4.314149,16.380032,5.735616
0.020000,4.254663,11.397642,1.005770,2.424842,4.660480,17.316550,5.708014
0.020000,4.296655,11.369583,1.056275,2.525229,5.019349,17.943417,5.680426
0.020000,4.339616,11.339132,1.108933,2.632909,5.383991,18.232138,5.652975
0.020000,4.383568,11.306139,1.163890,2.747858,5.747438,18.172315,5.625787
0.020000,4.428525,11.270454,1.221288,2.869915,6.102893,17.772745,5.598984
0.020000,4.474494,11.231931,1.281264,2.998797,6.444106,17.060641,5.572682
0.020000,4.521474,11.190435,1.343946,3.134111,6.765687,16.079085,5.546992
0.020000,4.569457,11.145838,1.409454,3.275378,7.063350,14.883119,5.522015
0.020000,4.618428,11.098026,1.477895,3.422059,7.334050,13.535033,5.497846
0.020000,4.668369,11.046898,1.549367,3.573580,7.576041,12.099522,5.474565
0.020000,4.719258,10.992367,1.623954,3.729357,7.788826,10.639240,5.452247
0.020000,4.771069,10.934361,1.701730,3.888818,7.973051,9.211250,5.430955
0.020000,4.823782,10.872823,1.782759,4.051424,8.130341,7.864534,5.410742
0.020000,4.877376,10.807708,1.867092,4.216687,8.263115,6.638688,5.391655
0.020000,4.931836,10.738988,1.954776,4.384174,8.374388,5.563644,5.373730
0.020000,4.987155,10.666644,2.045846,4.553526,8.467593,4.660251,5.357001
0.020000,5.043334,10.590670,2.140336,4.724455,8.546421,3.941410,5.341494
0.020000,5.100383,10.511066,2.238271,4.896749,8.614693,3.413617,5.327232
0.020000,5.158325,10.427845,2.339676,5.070274,8.676265,3.078591,5.314237
0.020000,5.217197,10.341023,2.444575,5.244973,8.734963,2.934900,5.302529
0.020000,5.277047,10.250623,2.552993,5.420864,8.794553,2.979467,5.292128
0.020000,5.337941,10.156670,2.664954,5.598039,8.858729,3.208847,5.283056
0.020000,5.399963,10.059196,2.780487,5.776662,8.931136,3.620350,5.275339
0.020000,5.463212,9.958232,2.899626,5.956969,9.015394,4.212863,5.269004
0.020000,5.535171,9.842467,3.035933,6.815362,42.919637,1695.212176,5.275901
0.020000,5.628525,9.700202,3.206093,8.507980,84.630910,2085.563625,5.310572
0.020000,5.729034,9.558379,3.379920,8.691357,9.168839,-3773.103552,5.347534
0.020000,5.836786,9.417984,3.556898,8.848881,7.876193,-64.632301,5.386699
0.020000,5.951542,9.280283,3.736148,8.962488,5.680351,-109.792110,5.427839
0.020000,6.072852,9.146554,3.916701,9.027682,3.259714,-121.031827,5.470636
0.020000,6.200214,9.017865,4.097759,9.052883,1.260062,-99.982615,5.514747
0.020000,6.332898,8.895241,4.278429,9.033507,-0.968831,-111.444613,5.559748
0.020000,6.469973,8.779601,4.457767,8.966922,-3.329239,-118.020402,5.605158
0.020000,6.610540,8.671545,4.635067,8.864976,-5.097286,-88.402358,5.650529
0.020000,6.753797,8.571379,4.809870,8.740127,-6.242473,-57.259342,5.695466
0.020000,6.898890,8.479269,4.981730,8.593045,-7.354102,-55.581494,5.739590
0.020000,7.044951,8.395236,5.150239,8.425440,-8.380220,-51.305896,5.782547
0.020000,7.191137,8.319159,5.315037,8.239873,-9.278389,-44.908404,5.824030
0.020000,7.336666,8.250787,5.475826,8.039480,-10.019640,-37.062573,5.863785
0.020000,7.480837,8.189763,5.632380,7.827682,-10.589889,-28.512461,5.901615
0.020000,7.623047,8.135650,5.784538,7.607903,-10.988941,-19.952608,5.937385
0.020000,7.762799,8.087955,5.932205,7.383348,-11.227784,-11.942148,5.971013
0.020000,7.899697,8.046154,6.075342,7.156846,-11.325066,-4.864069,6.002464
