dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.830081,24.166667,0.000200,0.020000,1.000000,50.000000,6.283174
0.020000,2.831042,24.166667,0.001161,0.048046,1.402298,20.114923,6.283036
0.020000,2.833204,24.166666,0.003323,0.108099,3.002670,80.018585,6.282725
0.020000,2.837047,24.166663,0.007166,0.192163,4.203170,60.024998,6.282174
0.020000,2.843052,24.166654,0.013171,0.300219,5.402794,59.981213,6.281313
0.020000,2.851456,24.166634,0.021575,0.420233,6.000707,29.895632,6.280109
0.020000,2.862260,24.166592,0.032379,0.540173,5.997012,-0.184749,6.278563
0.020000,2.875460,24.166519,0.045579,0.660017,5.992221,-0.239553,6.276677
0.020000,2.891054,24.166400,0.061174,0.779744,5.986304,-0.295835,6.274453
0.020000,2.909040,24.166220,0.079160,0.899328,5.979226,-0.353898,6.271893
0.020000,2.929413,24.165960,0.099535,1.018747,5.970946,-0.413997,6.269000
0.020000,2.952170,24.165601,0.122295,1.137975,5.961419,-0.476352,6.265778
0.020000,2.977305,24.165118,0.147435,1.256987,5.950595,-0.541220,6.262230
0.020000,3.004813,24.164489,0.174950,1.375756,5.938421,-0.608706,6.258360
0.020000,3.034687,24.163684,0.204835,1.494253,5.924841,-0.678978,6.254172
0.020000,3.066920,24.162676,0.237084,1.612449,5.909799,-0.752101,6.249673
0.020000,3.101504,24.161433,0.271690,1.730313,5.893237,-0.828104,6.244868
0.020000,3.138430,24.159923,0.308646,1.847815,5.875098,-0.906954,6.239762
0.020000,3.177686,24.158111,0.347945,1.964922,5.855326,-0.988584,6.234364
0.020000,3.219263,24.155961,0.389577,2.081599,5.833870,-1.072827,6.228679
0.020000,3.263146,24.153436,0.433533,2.197813,5.810680,-1.159493,6.222716
0.020000,3.309323,24.150495,0.479804,2.313527,5.785714,-1.248301,6.216485
0.020000,3.357779,24.147100,0.528378,2.428706,5.758936,-1.338915,6.209992
0.020000,3.408496,24.143209,0.579244,2.543312,5.730317,-1.430936,6.203250
0.020000,3.461457,24.138780,0.632390,2.657309,5.699839,-1.523904,6.196267
0.020000,3.516644,24.133771,0.687803,2.770659,5.667493,-1.617301,6.189056
0.020000,3.574034,24.128137,0.745470,2.883324,5.633282,-1.710556,6.181627
0.020000,3.633607,24.121836,0.805375,2.995269,5.597221,-1.803058,6.173994
0.020000,3.695339,24.114823,0.867504,3.106456,5.559337,-1.894156,6.166169
0.020000,3.759206,24.107056,0.931841,3.216849,5.519674,-1.983175,6.158166
0.020000,3.825180,24.098490,0.998370,3.326415,5.478285,-2.069426,6.149998
0.020000,3.893236,24.089083,1.067072,3.435120,5.435241,-2.152218,6.141682
0.020000,3.963343,24.078793,1.137931,3.542932,5.390624,-2.230871,6.133231
0.020000,4.035473,24.067577,1.210927,3.649823,5.344529,-2.304740,6.124663
0.020000,4.109594,24.055397,1.286042,3.755764,5.297065,-2.373197,6.115992
0.020000,4.185675,24.042214,1.363257,3.860731,5.248351,-2.435716,6.107237
0.020000,4.263682,24.027988,1.442551,3.964701,5.198515,-2.491774,6.098413
0.020000,4.343583,24.012686,1.523904,4.067655,5.147695,-2.540989,6.089539
0.020000,4.425344,23.996273,1.607296,4.169576,5.096034,-2.583061,6.080632
0.020000,4.508929,23.978716,1.692705,4.270449,5.043679,-2.617766,6.071709
0.020000,4.594304,23.959987,1.780110,4.370265,4.990778,-2.645014,6.062790
0.020000,4.681434,23.940058,1.869490,4.469015,4.937482,-2.664821,6.053893
0.020000,4.770284,23.918903,1.960824,4.566693,4.883935,-2.677373,6.045035
0.020000,4.860820,23.896501,2.054090,4.663299,4.830277,-2.682861,6.036235
0.020000,4.953006,23.872831,2.149267,4.758832,4.776642,-2.681752,6.027512
0.020000,5.046809,23.847876,2.246332,4.853295,4.723153,-2.674484,6.018884
0.020000,5.142196,23.821623,2.345266,4.946693,4.669919,-2.661681,6.010369
0.020000,5.239134,23.794059,2.446047,5.039034,4.617037,-2.644079,6.001985
0.020000,5.337592,23.765176,2.548654,5.130326,4.564589,-2.622442,5.993751
0.020000,5.437539,23.734970,2.653065,5.220578,4.512636,-2.597651,5.985683
0.020000,5.538945,23.703438,2.759261,5.309803,4.461222,-2.570693,5.977801
0.020000,5.641784,23.670581,2.867221,5.398010,4.410372,-2.542503,5.970121
0.020000,5.746028,23.636402,2.976926,5.485212,4.360088,-2.514204,5.962660
0.020000,5.851653,23.600910,3.088354,5.571419,4.310351,-2.486804,5.955435
0.020000,5.958635,23.564115,3.201487,5.656641,4.261122,-2.461471,5.948464
0.020000,6.066952,23.526030,3.316305,5.740888,4.212337,-2.439274,5.941763
0.020000,6.176585,23.486673,3.432788,5.824166,4.163909,-2.421385,5.935348
0.020000,6.287515,23.446064,3.550917,5.906481,4.115732,-2.408869,5.929237
0.020000,6.399726,23.404227,3.670674,5.987834,4.067673,-2.402921,5.923445
0.020000,6.513204,23.361189,3.792039,6.068226,4.019581,-2.404604,5.917990
0.020000,6.627935,23.316981,3.914992,6.147652,3.971280,-2.415048,5.912887
0.020000,6.743908,23.271639,4.039514,6.226103,3.922573,-2.435365,5.908154
0.020000,6.861114,23.225200,4.165585,6.303568,3.873240,-2.466634,5.903807
0.020000,6.979547,23.177705,4.293186,6.380029,3.823041,-2.509978,5.899864
0.020000,7.099199,23.129203,4.422295,6.455463,3.771711,-2.566469,5.896341
0.020000,7.220067,23.079741,4.552892,6.529842,3.718966,-2.637237,5.893258
0.020000,7.342149,23.029376,4.684954,6.603132,3.664499,-2.723384,5.890633
0.020000,7.465443,22.978166,4.818460,6.675292,3.607978,-2.826045,5.888485
0.020000,7.589949,22.926175,4.953386,6.746273,3.549051,-2.946346,5.886835
0.020000,7.715669,22.873471,5.089706,6.816020,3.487342,-3.085457,5.885703
0.020000,7.842421,22.820206,5.227195,6.874442,2.921128,-28.310708,5.885113
0.020000,7.969842,22.766613,5.365429,6.911683,1.862057,-52.953520,5.885084
0.020000,8.097580,22.712926,5.503990,6.928056,0.818648,-52.170451,5.885631
0.020000,8.225286,22.659378,5.642467,6.923877,-0.208957,-51.380278,5.886765
0.020000,8.352617,22.606202,5.780457,6.899466,-1.220569,-50.580578,5.888488
0.020000,8.479417,22.553547,5.917755,6.864929,-1.726823,-25.312719,5.890804
0.020000,8.605712,22.501489,6.054358,6.830132,-1.739857,-0.651706,5.893716
0.020000,8.731522,22.450102,6.190258,6.795010,-1.756119,-0.813090,5.897230
0.020000,8.856869,22.399462,6.325448,6.759499,-1.775547,-0.971397,5.901353
0.020000,8.981772,22.349645,6.459919,6.723538,-1.798060,-1.125656,5.906092
0.020000,9.106245,22.300725,6.593660,6.687067,-1.823554,-1.274699,5.911456
0.020000,9.230303,22.252781,6.726661,6.650029,-1.851897,-1.417126,5.917456
0.020000,9.353958,22.205888,6.858908,6.612370,-1.882921,-1.551222,5.924100
0.020000,9.477218,22.160126,6.990389,6.574042,-1.916421,-1.675014,5.931402
0.020000,9.600090,22.115573,7.121089,6.534999,-1.952143,-1.786075,5.939374
0.020000,9.722577,22.072307,7.250993,6.495203,-1.989776,-1.881644,5.948027
0.020000,9.844681,22.030408,7.380085,6.454624,-2.028945,-1.958462,5.957376
0.020000,9.966401,21.989958,7.508350,6.413240,-2.069201,-2.012817,5.967434
0.020000,10.087731,21.951035,7.635771,6.371040,-2.110010,-2.040436,5.978216
0.020000,10.208666,21.913721,7.762332,6.328025,-2.150742,-2.036599,5.989735
0.020000,10.329196,21.878096,7.888016,6.284212,-2.190662,-1.996002,6.002005
0.020000,10.449308,21.844241,8.012809,6.239634,-2.228921,-1.912922,6.015039
0.020000,10.568989,21.812235,8.136695,6.194343,-2.264545,-1.781219,6.028849
