dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.830054,21.833333,0.000200,0.020000,1.000000,50.000000,6.283174
0.020000,2.830693,21.833333,0.000839,0.031954,0.597702,-20.114923,6.283036
0.020000,2.832131,21.833333,0.002277,0.071901,1.997330,69.981410,6.282725
0.020000,2.834688,21.833331,0.004834,0.127837,2.796830,39.975005,6.282174
0.020000,2.838683,21.833325,0.008829,0.199781,3.597205,40.018754,6.281313
0.020000,2.844279,21.833311,0.014425,0.279767,3.999292,20.104342,6.280109
0.020000,2.851475,21.833284,0.021621,0.359827,4.002986,0.184692,6.278563
0.020000,2.860275,21.833235,0.030421,0.439982,4.007775,0.239485,6.276677
0.020000,2.870680,21.833155,0.040826,0.520256,4.013691,0.295762,6.274453
0.020000,2.882692,21.833035,0.052840,0.600672,4.020767,0.353804,6.271893
0.020000,2.896316,21.832862,0.066465,0.681252,4.029044,0.413884,6.269000
0.020000,2.911555,21.832621,0.081705,0.762024,4.038569,0.476253,6.265778
0.020000,2.928412,21.832297,0.098565,0.843012,4.049391,0.541081,6.262230
0.020000,2.946892,21.831874,0.117050,0.924243,4.061562,0.608576,6.258360
0.020000,2.967000,21.831333,0.137165,1.005746,4.075139,0.678837,6.254172
0.020000,2.988740,21.830653,0.158916,1.087549,4.090178,0.751950,6.249673
0.020000,3.012119,21.829813,0.182310,1.169684,4.106737,0.827945,6.244868
0.020000,3.037141,21.828789,0.207353,1.252181,4.124873,0.906800,6.239762
0.020000,3.063814,21.827558,0.234055,1.335074,4.144641,0.988418,6.234364
0.020000,3.092144,21.826093,0.262423,1.418396,4.166095,1.072670,6.228679
0.020000,3.122138,21.824367,0.292466,1.502182,4.189282,1.159335,6.222716
0.020000,3.153804,21.822351,0.324196,1.586467,4.214245,1.248146,6.216485
0.020000,3.187148,21.820014,0.357621,1.671287,4.241020,1.338767,6.209992
0.020000,3.222178,21.817327,0.392755,1.756680,4.269636,1.430798,6.203250
0.020000,3.258904,21.814255,0.429609,1.842682,4.300111,1.523776,6.196267
0.020000,3.297332,21.810767,0.468195,1.929331,4.332455,1.617185,6.189056
0.020000,3.337473,21.806826,0.508529,2.016664,4.366664,1.710457,6.181627
0.020000,3.379334,21.802398,0.550623,2.104719,4.402724,1.802976,6.173994
0.020000,3.422924,21.797447,0.594494,2.193531,4.440606,1.894094,6.166169
0.020000,3.468252,21.791933,0.640156,2.283136,4.480268,1.983134,6.158166
0.020000,3.515329,21.785821,0.687628,2.373569,4.521656,2.069409,6.149998
0.020000,3.564162,21.779071,0.736925,2.464863,4.564701,2.152226,6.141682
0.020000,3.614760,21.771644,0.788066,2.557050,4.609319,2.230907,6.133231
0.020000,3.667134,21.763500,0.841069,2.650158,4.655415,2.304797,6.124663
0.020000,3.721292,21.754601,0.895953,2.744216,4.702881,2.373294,6.115992
0.020000,3.777243,21.744905,0.952738,2.839248,4.751597,2.435821,6.107237
0.020000,3.834996,21.734373,1.011444,2.935276,4.801436,2.491920,6.098413
0.020000,3.894560,21.722965,1.072090,3.032322,4.852259,2.541171,6.089539
0.020000,3.955943,21.710642,1.134698,3.130400,4.903924,2.583257,6.080632
0.020000,4.019155,21.697365,1.199289,3.229526,4.956284,2.617985,6.071709
0.020000,4.084202,21.683095,1.265883,3.329710,5.009189,2.645259,6.062790
0.020000,4.151094,21.667794,1.334502,3.430959,5.062491,2.665107,6.053893
0.020000,4.219837,21.651426,1.405168,3.533280,5.116044,2.677643,6.045035
0.020000,4.290441,21.633955,1.477901,3.636674,5.169708,2.683188,6.036235
0.020000,4.362913,21.615347,1.552724,3.741141,5.223349,2.682062,6.027512
0.020000,4.437261,21.595567,1.629658,3.846678,5.276845,2.674812,6.018884
0.020000,4.513492,21.574586,1.708723,3.953280,5.330086,2.662035,6.010369
0.020000,4.591614,21.552372,1.789942,4.060940,5.382974,2.644417,6.001985
0.020000,4.671634,21.528897,1.873335,4.169648,5.435430,2.622783,5.993751
