dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.830137,24.166667,0.000200,0.020000,1.000000,50.000000,6.283178
0.020000,2.830991,24.166667,0.001054,0.042697,1.134830,6.741479,6.283132
0.020000,2.832912,24.166666,0.002975,0.096065,2.668432,76.680133,6.283028
0.020000,2.836327,24.166666,0.006391,0.170775,3.735512,53.353997,6.282843
0.020000,2.841664,24.166663,0.011727,0.266818,4.802142,53.331513,6.282555
0.020000,2.849134,24.166657,0.019197,0.373508,5.334485,26.617137,6.282152
0.020000,2.858737,24.166644,0.028800,0.480160,5.332602,-0.094157,6.281635
0.020000,2.870472,24.166622,0.040536,0.586764,5.330178,-0.121183,6.281004
0.020000,2.884338,24.166587,0.054402,0.693308,5.327212,-0.148301,6.280262
0.020000,2.900334,24.166533,0.070398,0.799782,5.323702,-0.175525,6.279409
0.020000,2.918457,24.166456,0.088521,0.906175,5.319644,-0.202876,6.278446
0.020000,2.938707,24.166349,0.108771,1.012476,5.315037,-0.230365,6.277375
0.020000,2.961080,24.166206,0.131144,1.118673,5.309877,-0.258006,6.276197
0.020000,2.985574,24.166019,0.155639,1.224756,5.304161,-0.285812,6.274916
0.020000,3.012187,24.165781,0.182253,1.330714,5.297885,-0.313785,6.273532
0.020000,3.040916,24.165482,0.210984,1.436535,5.291046,-0.341938,6.272049
0.020000,3.071758,24.165114,0.241828,1.542208,5.283641,-0.370270,6.270468
0.020000,3.104710,24.164668,0.274783,1.647721,5.275665,-0.398782,6.268793
0.020000,3.139767,24.164132,0.309844,1.753063,5.267116,-0.427475,6.267026
0.020000,3.176926,24.163497,0.347008,1.858223,5.257989,-0.456339,6.265171
0.020000,3.216183,24.162751,0.386272,1.963189,5.248281,-0.485372,6.263230
0.020000,3.257532,24.161884,0.427631,2.067949,5.237990,-0.514559,6.261208
0.020000,3.300971,24.160884,0.471081,2.172491,5.227112,-0.543890,6.259108
0.020000,3.346492,24.159738,0.516617,2.276804,5.215645,-0.573349,6.256935
0.020000,3.394092,24.158435,0.564235,2.380875,5.203587,-0.602916,6.254691
0.020000,3.443764,24.156961,0.613928,2.484694,5.190936,-0.632575,6.252382
0.020000,3.495503,24.155306,0.665693,2.588248,5.177690,-0.662298,6.250012
0.020000,3.549301,24.153455,0.719524,2.691525,5.163848,-0.692067,6.247586
0.020000,3.605154,24.151396,0.775414,2.794513,5.149411,-0.721854,6.245109
0.020000,3.663053,24.149117,0.833358,2.897201,5.134379,-0.751634,6.242585
0.020000,3.722992,24.146605,0.893350,2.999576,5.118751,-0.781379,6.240021
0.020000,3.784963,24.143847,0.955382,3.101626,5.102530,-0.811063,6.237422
0.020000,3.848959,24.140832,1.019449,3.203341,5.085717,-0.840661,6.234793
0.020000,3.914971,24.137547,1.085543,3.304707,5.068314,-0.870144,6.232141
0.020000,3.982992,24.133980,1.153657,3.405713,5.050324,-0.899490,6.229471
0.020000,4.053013,24.130121,1.223784,3.506348,5.031750,-0.928675,6.226791
