dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.830119,21.833333,0.000200,0.020000,1.000000,50.000000,6.283178
0.020000,2.830865,21.833333,0.000946,0.037303,0.865170,-6.741479,6.283132
0.020000,2.832544,21.833333,0.002625,0.083935,2.331568,73.319867,6.283028
0.020000,2.835529,21.833332,0.005609,0.149225,3.264488,46.646002,6.282843
0.020000,2.840192,21.833330,0.010273,0.233182,4.197858,46.668485,6.282555
0.020000,2.846722,21.833325,0.016803,0.326492,4.665515,23.382859,6.282152
0.020000,2.855119,21.833314,0.025200,0.419840,4.667398,0.094152,6.281635
0.020000,2.865384,21.833295,0.035464,0.513236,4.669821,0.121176,6.281004
0.020000,2.877517,21.833264,0.047598,0.606692,4.672787,0.148291,6.280262
0.020000,2.891522,21.833217,0.061602,0.700218,4.676297,0.175516,6.279409
0.020000,2.907398,21.833149,0.077479,0.793825,4.680355,0.202864,6.278446
0.020000,2.925148,21.833056,0.095229,0.887524,4.684962,0.230353,6.277375
0.020000,2.944774,21.832930,0.114856,0.981327,4.690122,0.257994,6.276197
0.020000,2.966279,21.832766,0.136361,1.075244,4.695838,0.285796,6.274916
0.020000,2.989663,21.832556,0.159747,1.169286,4.702113,0.313772,6.273532
0.020000,3.014931,21.832294,0.185016,1.263465,4.708951,0.341922,6.272049
0.020000,3.042085,21.831970,0.212172,1.357792,4.716356,0.370254,6.270468
0.020000,3.071128,21.831576,0.241217,1.452279,4.724332,0.398768,6.268793
0.020000,3.102063,21.831103,0.272156,1.546936,4.732881,0.427458,6.267026
0.020000,3.134894,21.830542,0.304992,1.641776,4.742008,0.456325,6.265171
0.020000,3.169624,21.829883,0.339728,1.736811,4.751715,0.485357,6.263230
0.020000,3.206257,21.829114,0.376369,1.832051,4.762006,0.514546,6.261208
0.020000,3.244797,21.828227,0.414919,1.927508,4.772883,0.543878,6.259108
0.020000,3.285248,21.827209,0.455383,2.023195,4.784350,0.573338,6.256935
0.020000,3.327615,21.826048,0.497765,2.119124,4.796408,0.602907,6.254691
0.020000,3.371901,21.824735,0.542071,2.215305,4.809059,0.632566,6.252382
0.020000,3.418113,21.823256,0.588306,2.311751,4.822305,0.662293,6.250012
0.020000,3.466253,21.821600,0.636476,2.408474,4.836146,0.692064,6.247586
0.020000,3.516329,21.819754,0.686586,2.505485,4.850584,0.721853,6.245109
0.020000,3.568345,21.817707,0.738642,2.602798,4.865616,0.751635,6.242585
0.020000,3.622306,21.815445,0.792650,2.700423,4.881244,0.781383,6.240021
0.020000,3.678218,21.812957,0.848617,2.798372,4.897465,0.811071,6.237422
0.020000,3.736087,21.810230,0.906551,2.896658,4.914279,0.840670,6.234793
0.020000,3.795919,21.807253,0.966456,2.995291,4.931682,0.870157,6.232141
0.020000,3.857720,21.804012,1.028342,3.094285,4.949672,0.899506,6.229471
0.020000,3.921496,21.800497,1.092215,3.193650,4.968246,0.928695,6.226791
0.020000,3.987254,21.796696,1.158083,3.293398,4.987400,0.957702,6.224106
0.020000,4.055001,21.792597,1.225954,3.393540,5.007130,0.986511,6.221424
0.020000,4.124744,21.788190,1.295836,3.494089,5.027432,1.015107,6.218752
0.020000,4.196489,21.783465,1.367737,3.595055,5.048302,1.043479,6.216095
0.020000,4.270245,21.778411,1.441666,3.696450,5.069734,1.071622,6.213463
0.020000,4.346019,21.773019,1.517631,3.798284,5.091725,1.099533,6.210862
0.020000,4.423819,21.767282,1.595643,3.900569,5.114269,1.127216,6.208301
0.020000,4.503654,21.761191,1.675709,4.003317,5.137363,1.154679,6.205786
0.020000,4.585531,21.754739,1.757840,4.106537,5.161002,1.181937,6.203327
0.020000,4.669459,21.747920,1.842045,4.210240,5.185182,1.209010,6.200931
0.020000,4.755448,21.740729,1.928333,4.314438,5.209900,1.235923,6.198607
0.020000,4.843506,21.733163,2.016716,4.419141,5.235154,1.262708,6.196364
0.020000,4.933644,21.725219,2.107203,4.524360,5.260942,1.289400,6.194210
