dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.830098,24.166667,0.000200,0.020000,1.000000,50.000000,0.000000
0.020000,2.830898,24.166667,0.001000,0.040000,1.000000,-0.000000,0.000000
0.020000,2.832698,24.166667,0.002800,0.090000,2.500000,75.000000,0.000000
0.020000,2.835898,24.166667,0.006000,0.160000,3.500000,50.000000,0.000000
0.020000,2.840898,24.166667,0.011000,0.250000,4.500000,50.000000,0.000000
0.020000,2.847898,24.166667,0.018000,0.350000,5.000000,25.000000,0.000000
0.020000,2.856898,24.166667,0.027000,0.450000,5.000000,-0.000000,0.000000
0.020000,2.867898,24.166667,0.038000,0.550000,5.000000,0.000000,0.000000
0.020000,2.880898,24.166667,0.051000,0.650000,5.000000,0.000000,0.000000
0.020000,2.895898,24.166667,0.066000,0.750000,5.000000,-0.000000,0.000000
0.020000,2.912898,24.166667,0.083000,0.850000,5.000000,0.000000,0.000000
0.020000,2.931898,24.166667,0.102000,0.950000,5.000000,-0.000000,0.000000
0.020000,2.952898,24.166667,0.123000,1.050000,5.000000,0.000000,0.000000
0.020000,2.975898,24.166667,0.146000,1.150000,5.000000,0.000000,0.000000
0.020000,3.000898,24.166667,0.171000,1.250000,5.000000,-0.000000,0.000000
0.020000,3.027898,24.166667,0.198000,1.350000,5.000000,0.000000,0.000000
0.020000,3.056898,24.166667,0.227000,1.450000,5.000000,-0.000000,0.000000
0.020000,3.087898,24.166667,0.258000,1.550000,5.000000,0.000000,0.000000
0.020000,3.120898,24.166667,0.291000,1.650000,5.000000,-0.000000,0.000000
0.020000,3.155898,24.166667,0.326000,1.750000,5.000000,-0.000000,0.000000
0.020000,3.192898,24.166667,0.363000,1.850000,5.000000,-0.000000,0.000000
0.020000,3.231898,24.166667,0.402000,1.950000,5.000000,0.000000,0.000000
0.020000,3.272898,24.166667,0.443000,2.050000,5.000000,0.000000,0.000000
0.020000,3.315898,24.166667,0.486000,2.150000,5.000000,-0.000000,0.000000
0.020000,3.360898,24.166667,0.531000,2.250000,5.000000,0.000000,0.000000
0.020000,3.407898,24.166667,0.578000,2.350000,5.000000,-0.000000,0.000000
0.020000,3.456898,24.166667,0.627000,2.450000,5.000000,0.000000,0.000000
0.020000,3.507898,24.166667,0.678000,2.550000,5.000000,0.000000,0.000000
0.020000,3.560898,24.166667,0.731000,2.650000,5.000000,-0.000000,0.000000
0.020000,3.615898,24.166667,0.786000,2.750000,5.000000,-0.000000,0.000000
0.020000,3.672898,24.166667,0.843000,2.850000,5.000000,0.000000,0.000000
0.020000,3.731898,24.166667,0.902000,2.950000,5.000000,0.000000,0.000000
0.020000,3.792898,24.166667,0.963000,3.050000,5.000000,0.000000,0.000000
0.020000,3.855898,24.166667,1.026000,3.150000,5.000000,0.000000,0.000000
0.020000,3.920898,24.166667,1.091000,3.250000,5.000000,0.000000,0.000000
0.020000,3.987898,24.166667,1.158000,3.350000,5.000000,-0.000000,0.000000
0.020000,4.056898,24.166667,1.227000,3.450000,5.000000,0.000000,0.000000
0.020000,4.127898,24.166667,1.298000,3.550000,5.000000,-0.000000,0.000000
0.020000,4.200898,24.166667,1.371000,3.650000,5.000000,-0.000000,0.000000
0.020000,4.275898,24.166667,1.446000,3.750000,5.000000,0.000000,0.000000
0.020000,4.352898,24.166667,1.523000,3.850000,5.000000,0.000000,0.000000
0.020000,4.431898,24.166667,1.602000,3.950000,5.000000,0.000000,0.000000
0.020000,4.512898,24.166667,1.683000,4.050000,5.000000,-0.000000,0.000000
0.020000,4.595898,24.166667,1.766000,4.150000,5.000000,0.000000,0.000000
0.020000,4.680898,24.166667,1.851000,4.250000,5.000000,0.000000,0.000000
0.020000,4.767898,24.166667,1.938000,4.350000,5.000000,0.000000,0.000000
0.020000,4.856898,24.166667,2.027000,4.450000,5.000000,-0.000000,0.000000
0.020000,4.947898,24.166667,2.118000,4.550000,5.000000,0.000000,0.000000
0.020000,5.040898,24.166667,2.211000,4.650000,5.000000,-0.000000,0.000000
0.020000,5.135898,24.166667,2.306000,4.750000,5.000000,0.000000,0.000000
0.020000,5.232898,24.166667,2.403000,4.850000,5.000000,-0.000000,0.000000
0.020000,5.331898,24.166667,2.502000,4.950000,5.000000,0.000000,0.000000
0.020000,5.432898,24.166667,2.603000,5.050000,5.000000,-0.000000,0.000000
0.020000,5.535898,24.166667,2.706000,5.150000,5.000000,0.000000,0.000000
0.020000,5.640898,24.166667,2.811000,5.250000,5.000000,0.000000,0.000000
0.020000,5.747898,24.166667,2.918000,5.350000,5.000000,-0.000000,0.000000
0.020000,5.856898,24.166667,3.027000,5.450000,5.000000,0.000000,0.000000
0.020000,5.967898,24.166667,3.138000,5.550000,5.000000,-0.000000,0.000000
0.020000,6.080898,24.166667,3.251000,5.650000,5.000000,0.000000,0.000000
0.020000,6.195898,24.166667,3.366000,5.750000,5.000000,-0.000000,0.000000
0.020000,6.312898,24.166667,3.483000,5.850000,5.000000,0.000000,0.000000
0.020000,6.431898,24.166667,3.602000,5.950000,5.000000,-0.000000,0.000000
0.020000,6.552898,24.166667,3.723000,6.050000,5.000000,0.000000,0.000000
0.020000,6.675898,24.166667,3.846000,6.150000,5.000000,0.000000,0.000000
0.020000,6.800898,24.166667,3.971000,6.250000,5.000000,-0.000000,0.000000
0.020000,6.927898,24.166667,4.098000,6.350000,5.000000,0.000000,0.000000
0.020000,7.056898,24.166667,4.227000,6.450000,5.000000,-0.000000,0.000000
0.020000,7.187898,24.166667,4.358000,6.550000,5.000000,0.000000,0.000000
0.020000,7.320898,24.166667,4.491000,6.650000,5.000000,-0.000000,0.000000
0.020000,7.455898,24.166667,4.626000,6.750000,5.000000,0.000000,0.000000
0.020000,7.592698,24.166667,4.762800,6.840000,4.500000,-25.000000,0.000000
0.020000,7.730898,24.166667,4.901000,6.910000,3.500000,-50.000000,0.000000
0.020000,7.870098,24.166667,5.040200,6.960000,2.500000,-50.000000,0.000000
0.020000,8.009898,24.166667,5.180000,6.990000,1.500000,-50.000000,0.000000
0.020000,8.149898,24.166667,5.320000,7.000000,0.500000,-50.000000,0.000000
0.020000,8.289898,24.166667,5.460000,7.000000,0.000000,-25.000000,0.000000
0.020000,8.429898,24.166667,5.600000,7.000000,0.000000,0.000000,0.000000
0.020000,8.569898,24.166667,5.740000,7.000000,0.000000,0.000000,0.000000
0.020000,8.709898,24.166667,5.880000,7.000000,0.000000,0.000000,0.000000
0.020000,8.849898,24.166667,6.020000,7.000000,-0.000000,-0.000000,0.000000
0.020000,8.989898,24.166667,6.160000,7.000000,0.000000,0.000000,0.000000
0.020000,9.129898,24.166667,6.300000,7.000000,-0.000000,-0.000000,0.000000
0.020000,9.269898,24.166667,6.440000,7.000000,0.000000,0.000000,0.000000
0.020000,9.409898,24.166667,6.580000,7.000000,0.000000,0.000000,0.000000
0.020000,9.549898,24.166667,6.720000,7.000000,-0.000000,-0.000000,0.000000
0.020000,9.689898,24.166667,6.860000,7.000000,0.000000,0.000000,0.000000
0.020000,9.829898,24.166667,7.000000,7.000000,0.000000,0.000000,0.000000
0.020000,9.969898,24.166667,7.140000,7.000000,0.000000,0.000000,0.000000
0.020000,10.109898,24.166667,7.280000,7.000000,0.000000,0.000000,0.000000
0.020000,10.249898,24.166667,7.420000,7.000000,0.000000,0.000000,0.000000
0.020000,10.389898,24.166667,7.560000,7.000000,0.000000,0.000000,0.000000
0.020000,10.529898,24.166667,7.700000,7.000000,-0.000000,-0.000000,0.000000
0.020000,10.669898,24.166667,7.840000,7.000000,-0.000000,0.000000,0.000000
0.020000,10.809898,24.166667,7.980000,7.000000,0.000000,0.000000,0.000000
0.020000,10.949898,24.166667,8.120000,7.000000,-0.000000,-0.000000,0.000000
0.020000,11.089898,24.166667,8.260000,7.000000,0.000000,0.000000,0.000000
0.020000,11.229898,24.166667,8.400000,7.000000,-0.000000,-0.000000,0.000000
0.020000,11.369898,24.166667,8.540000,7.000000,0.000000,0.000000,0.000000
0.020000,11.509898,24.166667,8.680000,7.000000,0.000000,-0.000000,0.000000
0.020000,11.649898,24.166667,8.820000,7.000000,-0.000000,-0.000000,0.000000
0.020000,11.789898,24.166667,8.960000,7.000000,0.000000,0.000000,0.000000
0.020000,11.929898,24.166667,9.100000,7.000000,-0.000000,-0.000000,0.000000
0.020000,12.069898,24.166667,9.240000,7.000000,0.000000,0.000000,0.000000
0.020000,12.209898,24.166667,9.380000,7.000000,0.000000,-0.000000,0.000000
0.020000,12.349898,24.166667,9.520000,7.000000,0.000000,0.000000,0.000000
0.020000,12.489898,24.166667,9.660000,7.000000,-0.000000,-0.000000,0.000000
0.020000,12.629898,24.166667,9.800000,7.000000,0.000000,0.000000,0.000000
0.020000,12.769898,24.166667,9.940000,7.000000,0.000000,-0.000000,0.000000
0.020000,12.909898,24.166667,10.080000,7.000000,-0.000000,-0.000000,0.000000
0.020000,13.032736,24.166909,10.202837,6.141873,-42.906352,-2145.317601,0.014623
0.020000,13.129499,24.170183,10.299656,4.840949,-65.046204,-1106.992606,0.051630
0.020000,13.232144,24.177181,10.402539,5.144142,15.159658,4010.293129,0.083441
0.020000,13.339528,24.187697,10.510437,5.394888,12.537308,-131.117512,0.110955
0.020000,13.450760,24.201477,10.622519,5.604107,10.460946,-103.818094,0.134882
0.020000,13.565142,24.218252,10.738126,5.780320,8.810620,-82.516315,0.155789
0.020000,13.682131,24.237755,10.856729,5.930148,7.491405,-65.960739,0.174128
0.020000,13.801296,24.259734,10.977903,6.058747,6.429972,-53.071677,0.190263
0.020000,13.922299,24.283953,11.101307,6.170152,5.570229,-42.987116,0.204488
0.020000,14.044872,24.310196,11.226657,6.267539,4.869383,-35.042326,0.217043
0.020000,14.168802,24.338262,11.353726,6.353434,4.294726,-28.732833,0.228127
0.020000,14.293921,24.367971,11.482323,6.429857,3.821168,-23.677916,0.237900
0.020000,14.420093,24.399155,11.612292,6.498444,3.429356,-19.590598,0.246498
0.020000,14.547213,24.431662,11.743503,6.560530,3.104294,-16.253114,0.254031
0.020000,14.675198,24.465352,11.875847,6.617216,2.834289,-13.500231,0.260593
0.020000,14.803982,24.500094,12.009235,6.669420,2.610195,-11.204682,0.266260
